,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6587495633950402,0.8980952380952381,0.6597142857142857,0.6001190476190477,0.760024178924038,0.6243562925170068,0.6551270613157694,0.8980952380952381,0.30214285714285716,0.6978571428571428,0.1019047619047619
1,advanced-only,0.6117098747451208,1.0,0.6191428571428571,0.5239285714285714,0.7590818724019519,0.5464285714285715,0.8115727002967359,1.0,0.047857142857142855,0.9521428571428572,0.0
2,fourier-only,0.6017191977077364,0.5,0.5014285714285714,0.5017857142857143,0.5461638491547464,0.5903095238095238,0.7315295083099534,0.5,0.5035714285714286,0.49642857142857144,0.5
3,fourier-min-only,0.6,1.0,0.6,0.5,0.7499999999999999,0.7254871598639456,0.7974001745703942,1.0,0.0,1.0,0.0
4,baseline-and-advanced,0.6124234470691163,1.0,0.6202857142857143,0.5253571428571429,0.759631036353771,0.5477485544217686,0.811870002243855,1.0,0.05071428571428571,0.9492857142857143,0.0
5,baseline-and-fourier,0.6017191977077364,0.5,0.5014285714285714,0.5017857142857143,0.5461638491547464,0.588812925170068,0.7310652268811033,0.5,0.5035714285714286,0.49642857142857144,0.5
6,baseline-and-fourier-min,0.6041426927502876,1.0,0.6068571428571429,0.5085714285714286,0.7532281205164992,0.7571464285714287,0.8093375560667438,1.0,0.017142857142857144,0.9828571428571429,0.0
7,advanced-and-fourier,0.6064106266243142,1.0,0.6105714285714285,0.5132142857142857,0.7549883156570196,0.5296428571428571,0.8072870939420544,1.0,0.02642857142857143,0.9735714285714285,0.0
8,advanced-and-fourier-min,0.6108202443280978,1.0,0.6177142857142857,0.5221428571428571,0.7583965330444205,0.5378571428571428,0.8093694755450795,1.0,0.04428571428571428,0.9557142857142857,0.0
9,baseline-advanced-and-fourier,0.6067610517191563,1.0,0.6111428571428571,0.5139285714285714,0.7552598453515555,0.5307142857142857,0.8075571177504394,1.0,0.027857142857142858,0.9721428571428572,0.0
10,baseline-advanced-and-fourier-min,0.6111757857974389,1.0,0.6182857142857143,0.5228571428571429,0.758670520231214,0.54,0.8099173553719008,1.0,0.045714285714285714,0.9542857142857143,0.0
